variant,split,status,train_size,test_size,train_label_counts,test_label_counts,accuracy,precision,recall,f1,roc_auc,mean_prob_pos,mean_prob_neg,confusion_matrix,runtime_seconds,note
fusion_frozen,random,ok,1500,1399,"{""0"": 856, ""1"": 644}","{""0"": 799, ""1"": 600}",0.8420300214438885,0.7858220211161387,0.8683333333333333,0.8250197941409343,0.9299520233625365,0.5733963251113892,0.4623536169528961,"[[657, 142], [79, 521]]",142.93154501914978,
fusion_frozen,cross_source_a,ok,1500,1500,"{""0"": 936, ""1"": 564}","{""0"": 750, ""1"": 750}",0.766,0.9607390300230947,0.5546666666666666,0.7032967032967034,0.9346257777777778,0.5080351829528809,0.43108075857162476,"[[733, 17], [334, 416]]",96.99121809005737,
fusion_frozen,cross_source_b,ok,1500,1500,"{""0"": 937, ""1"": 563}","{""0"": 749, ""1"": 751}",0.8786666666666667,0.8374851720047449,0.9400798934753661,0.8858218318695107,0.9513883580237477,0.5536741018295288,0.46927469968795776,"[[612, 137], [45, 706]]",100.37057590484619,
fusion_frozen,cross_source_c,invalid_split,1500,994,"{""0"": 750, ""1"": 750}","{""0"": 994}",,,,,,,,,,Test split has one class only; phishing-class metrics are not comparable.
fusion_unfrozen,random,ok,1500,1399,"{""0"": 856, ""1"": 644}","{""0"": 799, ""1"": 600}",0.9292351679771265,0.9252971137521222,0.9083333333333333,0.9167367535744323,0.9810033375052148,0.8064024448394775,0.23612773418426514,"[[755, 44], [55, 545]]",3596.3403613567352,
fusion_unfrozen,cross_source_a,ok,1500,1500,"{""0"": 936, ""1"": 564}","{""0"": 750, ""1"": 750}",0.7,0.96875,0.41333333333333333,0.5794392523364486,0.948767111111111,0.4657577574253082,0.1358642727136612,"[[740, 10], [440, 310]]",314.08231806755066,
fusion_unfrozen,cross_source_b,ok,1500,1500,"{""0"": 937, ""1"": 563}","{""0"": 749, ""1"": 751}",0.9293333333333333,0.8890229191797346,0.9813581890812251,0.9329113924050633,0.9874079776141824,0.8792219758033752,0.3118318021297455,"[[657, 92], [14, 737]]",372.8502531051636,
fusion_unfrozen,cross_source_c,invalid_split,1500,994,"{""0"": 750, ""1"": 750}","{""0"": 994}",,,,,,,,,,Test split has one class only; phishing-class metrics are not comparable.
textonly_frozen,random,ok,1500,1399,"{""0"": 856, ""1"": 644}","{""0"": 799, ""1"": 600}",0.8577555396711937,0.8089368258859785,0.875,0.8406725380304243,0.9309741343345848,0.5618950128555298,0.4646328091621399,"[[675, 124], [75, 525]]",102.78496599197388,
textonly_frozen,cross_source_a,ok,1500,1500,"{""0"": 936, ""1"": 564}","{""0"": 750, ""1"": 750}",0.8113333333333334,0.941398865784499,0.664,0.7787333854573886,0.9296053333333333,0.5164914727210999,0.44893261790275574,"[[719, 31], [252, 498]]",94.33229327201843,
textonly_frozen,cross_source_b,ok,1500,1500,"{""0"": 937, ""1"": 563}","{""0"": 749, ""1"": 751}",0.8886666666666667,0.8686868686868687,0.9161118508655126,0.8917692806221647,0.9475074622354884,0.5465030670166016,0.4608715772628784,"[[645, 104], [63, 688]]",97.86580872535706,
textonly_frozen,cross_source_c,invalid_split,1500,994,"{""0"": 750, ""1"": 750}","{""0"": 994}",,,,,,,,,,Test split has one class only; phishing-class metrics are not comparable.
textonly_unfrozen,random,ok,1500,1399,"{""0"": 856, ""1"": 644}","{""0"": 799, ""1"": 600}",0.9299499642601858,0.9239864864864865,0.9116666666666666,0.9177852348993288,0.9812035878181059,0.8437737226486206,0.1929153949022293,"[[754, 45], [53, 547]]",309.60232281684875,
textonly_unfrozen,cross_source_a,ok,1500,1500,"{""0"": 936, ""1"": 564}","{""0"": 750, ""1"": 750}",0.772,0.9678899082568807,0.5626666666666666,0.7116357504215851,0.9518471111111111,0.5560881495475769,0.13983209431171417,"[[736, 14], [328, 422]]",353.9164569377899,
textonly_unfrozen,cross_source_b,ok,1500,1500,"{""0"": 937, ""1"": 563}","{""0"": 749, ""1"": 751}",0.9153333333333333,0.9137931034482759,0.9174434087882823,0.9156146179401994,0.9657030501387559,0.7748249173164368,0.20159710943698883,"[[684, 65], [62, 689]]",402.31647300720215,
textonly_unfrozen,cross_source_c,invalid_split,1500,994,"{""0"": 750, ""1"": 750}","{""0"": 994}",,,,,,,,,,Test split has one class only; phishing-class metrics are not comparable.
