variant,split,threshold,precision,recall,f1,false_positives,false_negatives
fusion_frozen,random,0.2,0.42887776983559683,1.0,0.6003001500750376,799,0
fusion_frozen,random,0.5,0.7858220211161387,0.8683333333333333,0.8250197941409343,142,79
fusion_frozen,random,0.8,1.0,0.0016666666666666668,0.0033277870216306157,0,599
fusion_frozen,cross_source_a,0.2,0.5,1.0,0.6666666666666666,750,0
fusion_frozen,cross_source_a,0.5,0.9607390300230947,0.5546666666666666,0.7032967032967034,17,334
fusion_frozen,cross_source_a,0.8,0.0,0.0,0.0,0,750
fusion_frozen,cross_source_b,0.2,0.5006666666666667,1.0,0.667258996001777,749,0
fusion_frozen,cross_source_b,0.5,0.8374851720047449,0.9400798934753661,0.8858218318695107,137,45
fusion_frozen,cross_source_b,0.8,0.0,0.0,0.0,0,751
fusion_unfrozen,random,0.2,0.6341463414634146,0.9966666666666667,0.7751134154244977,345,2
fusion_unfrozen,random,0.5,0.9252971137521222,0.9083333333333333,0.9167367535744323,44,55
fusion_unfrozen,random,0.8,0.982646420824295,0.755,0.8539114043355325,8,147
fusion_unfrozen,cross_source_a,0.2,0.947463768115942,0.6973333333333334,0.8033794162826421,29,227
fusion_unfrozen,cross_source_a,0.5,0.96875,0.41333333333333333,0.5794392523364486,10,440
fusion_unfrozen,cross_source_a,0.8,0.96875,0.248,0.39490445859872614,6,564
fusion_unfrozen,cross_source_b,0.2,0.5383512544802868,1.0,0.6999068033550793,644,0
fusion_unfrozen,cross_source_b,0.5,0.8890229191797346,0.9813581890812251,0.9329113924050633,92,14
fusion_unfrozen,cross_source_b,0.8,0.9571230982019364,0.9214380825565912,0.9389416553595658,31,59
textonly_frozen,random,0.2,0.42887776983559683,1.0,0.6003001500750376,799,0
textonly_frozen,random,0.5,0.8089368258859785,0.875,0.8406725380304243,124,75
textonly_frozen,random,0.8,0.0,0.0,0.0,0,600
textonly_frozen,cross_source_a,0.2,0.5,1.0,0.6666666666666666,750,0
textonly_frozen,cross_source_a,0.5,0.941398865784499,0.664,0.7787333854573886,31,252
textonly_frozen,cross_source_a,0.8,0.0,0.0,0.0,0,750
textonly_frozen,cross_source_b,0.2,0.5006666666666667,1.0,0.667258996001777,749,0
textonly_frozen,cross_source_b,0.5,0.8686868686868687,0.9161118508655126,0.8917692806221647,104,63
textonly_frozen,cross_source_b,0.8,0.0,0.0,0.0,0,751
textonly_unfrozen,random,0.2,0.7776315789473685,0.985,0.8691176470588236,169,9
textonly_unfrozen,random,0.5,0.9239864864864865,0.9116666666666666,0.9177852348993288,45,53
textonly_unfrozen,random,0.8,0.9597701149425287,0.835,0.893048128342246,21,99
textonly_unfrozen,cross_source_a,0.2,0.8840782122905028,0.844,0.8635743519781719,83,117
textonly_unfrozen,cross_source_a,0.5,0.9678899082568807,0.5626666666666666,0.7116357504215851,14,328
textonly_unfrozen,cross_source_a,0.8,0.9788135593220338,0.308,0.4685598377281947,5,519
textonly_unfrozen,cross_source_b,0.2,0.7946236559139785,0.9840213049267643,0.8792385484830458,191,12
textonly_unfrozen,cross_source_b,0.5,0.9137931034482759,0.9174434087882823,0.9156146179401994,65,62
textonly_unfrozen,cross_source_b,0.8,0.9576107899807321,0.6617842876165113,0.7826771653543307,22,254
