repeat,seed,strategy,threshold_name,threshold,accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,roc_auc
1,17,baseline,soc,0.4,0.75,0.7135549872122762,0.7096774193548387,0.9565217391304348,0.8148148148148148,"[[8, 9], [1, 22]]",0.7928388746803069
1,17,baseline,balanced,0.5,0.75,0.7365728900255755,0.76,0.8260869565217391,0.7916666666666666,"[[11, 6], [4, 19]]",0.7928388746803069
1,17,baseline,high_confidence,0.6,0.625,0.6508951406649617,0.7857142857142857,0.4782608695652174,0.5945945945945946,"[[14, 3], [12, 11]]",0.7928388746803069
1,17,baseline,dev_optimized,0.4,0.75,0.7135549872122762,0.7096774193548387,0.9565217391304348,0.8148148148148148,"[[8, 9], [1, 22]]",0.7928388746803069
1,17,optimized,soc,0.4,0.85,0.8235294117647058,0.7931034482758621,1.0,0.8846153846153846,"[[11, 6], [0, 23]]",0.9820971867007673
1,17,optimized,balanced,0.5,0.9,0.8823529411764706,0.8518518518518519,1.0,0.92,"[[13, 4], [0, 23]]",0.9820971867007673
1,17,optimized,high_confidence,0.6,0.9,0.8976982097186701,0.9130434782608695,0.9130434782608695,0.9130434782608695,"[[15, 2], [2, 21]]",0.9820971867007673
1,17,optimized,dev_optimized,0.55,0.925,0.9194373401534527,0.9166666666666666,0.9565217391304348,0.9361702127659575,"[[15, 2], [1, 22]]",0.9820971867007673
1,17,meta_experimental,soc,0.4,0.975,0.9705882352941176,0.9583333333333334,1.0,0.9787234042553191,"[[16, 1], [0, 23]]",1.0
1,17,meta_experimental,balanced,0.5,0.975,0.9705882352941176,0.9583333333333334,1.0,0.9787234042553191,"[[16, 1], [0, 23]]",1.0
1,17,meta_experimental,high_confidence,0.6,1.0,1.0,1.0,1.0,1.0,"[[17, 0], [0, 23]]",1.0
1,17,meta_experimental,dev_optimized,0.7,1.0,1.0,1.0,1.0,1.0,"[[17, 0], [0, 23]]",1.0
2,23,baseline,soc,0.4,0.825,0.7941176470588236,0.7666666666666667,1.0,0.8679245283018868,"[[10, 7], [0, 23]]",0.9462915601023018
2,23,baseline,balanced,0.5,0.85,0.8542199488491049,0.9047619047619048,0.8260869565217391,0.8636363636363636,"[[15, 2], [4, 19]]",0.9462915601023018
2,23,baseline,high_confidence,0.6,0.65,0.6956521739130435,1.0,0.391304347826087,0.5625,"[[17, 0], [14, 9]]",0.9462915601023018
2,23,baseline,dev_optimized,0.45,0.9,0.8976982097186701,0.9130434782608695,0.9130434782608695,0.9130434782608695,"[[15, 2], [2, 21]]",0.9462915601023018
2,23,optimized,soc,0.4,0.95,0.9411764705882353,0.92,1.0,0.9583333333333334,"[[15, 2], [0, 23]]",0.9923273657289002
2,23,optimized,balanced,0.5,0.975,0.9705882352941176,0.9583333333333334,1.0,0.9787234042553191,"[[16, 1], [0, 23]]",0.9923273657289002
2,23,optimized,high_confidence,0.6,0.925,0.9347826086956521,1.0,0.8695652173913043,0.9302325581395349,"[[17, 0], [3, 20]]",0.9923273657289002
2,23,optimized,dev_optimized,0.65,0.925,0.9347826086956521,1.0,0.8695652173913043,0.9302325581395349,"[[17, 0], [3, 20]]",0.9923273657289002
2,23,meta_experimental,soc,0.4,0.95,0.948849104859335,0.9565217391304348,0.9565217391304348,0.9565217391304348,"[[16, 1], [1, 22]]",0.9974424552429668
2,23,meta_experimental,balanced,0.5,0.95,0.948849104859335,0.9565217391304348,0.9565217391304348,0.9565217391304348,"[[16, 1], [1, 22]]",0.9974424552429668
