scenario,baseline_false_positive,baseline_false_negative,optimized_false_positive,optimized_false_negative,net_error_change_optimized_minus_baseline
malicious_no_url_credential_lure,0,11,0,0,-11
password_reset_legit,6,0,0,0,-6
brand_impersonation_clean,0,5,0,0,-5
no_url_text_dominant_benign,5,0,0,0,-5
shared_doc_clean_phish,0,4,0,0,-4
edge_clean_phish,0,2,0,0,-2
edge_benign_looks_phishy,1,0,0,0,-1
fake_docusign_variant,0,1,0,0,-1
malicious_no_url,0,1,0,0,-1
subtle_doc_share,0,1,0,1,0
banking_alert_official,4,0,4,0,0
multi_url_benign,2,0,2,0,0
bank_notification_variant,1,0,1,0,0
student_portal,1,0,1,0,0
student_portal_variant,1,0,1,0,0
benign_no_url_internal_notice,0,0,1,0,1
travel_confirmation,0,0,1,0,1
travel_confirmation_variant,0,0,3,0,3
